Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Sri Lanka,South-East Asia,91561,427.59,2064,9.64,272,557,2.6,13,0.06,3,Clusters of cases
Norway,Europe,90934,1677.37,6381,117.7,833,656,12.1,8,0.15,0,Community transmission
Ghana,Africa,90287,290.56,1279,4.12,288,740,2.38,27,0.09,3,Community transmission
Uruguay,Americas,89458,2575.27,12642,363.93,1646,856,24.64,107,3.08,13,Community transmission
Montenegro,Europe,89361,14227.96,2146,341.68,0,1234,196.48,40,6.37,0,Clusters of cases
Kyrgyzstan,Europe,87946,1348,625,9.58,88,1494,22.9,6,0.09,0,Clusters of cases
Zambia,Africa,87583,476.41,1524,8.29,265,1194,6.49,16,0.09,3,Community transmission
Kosovo[1],Europe,86151,4630.83,5573,299.56,860,1809,97.24,75,4.03,6,Community transmission
Uzbekistan,Europe,82146,245.44,925,2.76,186,625,1.87,3,0.01,1,Clusters of cases
Finland,Europe,74754,1349.17,4487,80.98,512,817,14.75,12,0.22,2,Community transmission
Cuba,Americas,70634,623.61,5485,48.43,832,413,3.65,26,0.23,5,Community transmission
Mozambique,Africa,66879,213.98,1080,3.46,117,758,2.43,18,0.06,5,Community transmission
El Salvador,Americas,63766,983.1,1235,19.04,0,1996,30.77,25,0.39,3,Community transmission
Luxembourg,Europe,60465,9659.29,1510,241.22,260,738,117.9,24,3.83,2,Community transmission
Singapore,Western Pacific,60265,1030.11,98,1.68,12,30,0.51,0,0,0,Sporadic cases
Afghanistan,Eastern Mediterranean,56290,144.6,197,0.51,36,2469,6.34,7,0.02,2,Sporadic cases
Cameroon,Africa,47669,179.57,8681,32.7,0,721,2.72,133,0.5,0,Community transmission
Cyprus,Europe,43971,3641.92,2496,206.73,361,248,20.54,7,0.58,0,Clusters of cases
Namibia,Africa,43179,1699.36,1495,58.84,169,504,19.84,21,0.83,2,Community transmission
Côte d’Ivoire,Africa,42468,161,3034,11.5,404,229,0.87,13,0.05,0,Community transmission
Uganda,Africa,40750,89.09,99,0.22,17,335,0.73,1,0,1,Community transmission
Botswana,Africa,38466,1635.72,3467,147.43,907,506,21.52,59,2.51,21,Community transmission
Senegal,Africa,38354,229.06,813,4.86,99,1031,6.16,28,0.17,3,Community transmission
Jamaica,Americas,37458,1264.97,3488,117.79,330,557,18.81,38,1.28,11,Community transmission
Zimbabwe,Africa,36805,247.63,153,1.03,27,1518,10.21,8,0.05,0,Community transmission
Malawi,Africa,33415,174.67,370,1.93,28,1112,5.81,21,0.11,4,Community transmission
Sudan,Eastern Mediterranean,31407,71.62,221,0.5,0,2028,4.62,33,0.08,0,Community transmission
Australia,Western Pacific,29240,114.67,57,0.22,12,909,3.56,0,0,0,Clusters of cases
Malta,Europe,28715,6503.33,1021,231.23,103,382,86.51,18,4.08,4,Clusters of cases
Thailand,South-East Asia,28657,41.06,944,1.35,80,93,0.13,3,0,1,Clusters of cases
Democratic Republic of the Congo,Africa,27793,31.03,438,0.49,65,726,0.81,0,0,0,Community transmission
Maldives,South-East Asia,23237,4298.82,945,174.82,146,66,12.21,1,0.18,0,Clusters of cases
Madagascar,Africa,23230,83.89,1117,4.03,190,378,1.37,38,0.14,9,Community transmission
Angola,Africa,21965,66.83,323,0.98,51,532,1.62,7,0.02,0,Community transmission
Rwanda,Africa,21309,164.52,628,4.85,99,300,2.32,13,0.1,2,Community transmission
Guinea,Africa,19403,147.74,841,6.4,171,116,0.88,8,0.06,3,Community transmission
Mayotte,Africa,19306,7076.59,300,109.96,0,154,56.45,3,1.1,0,Community transmission
French Polynesia,Western Pacific,18607,6623.88,31,11.04,2,141,50.19,0,0,0,Sporadic cases
Gabon,Africa,18426,827.86,1129,50.72,0,109,4.9,4,0.18,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,18201,104,1124,6.42,155,1216,6.95,75,0.43,10,Community transmission
Mauritania,Africa,17745,381.64,175,3.76,33,448,9.64,2,0.04,1,Community transmission
Eswatini,Africa,17312,1492.2,45,3.88,6,666,57.41,2,0.17,0,Community transmission
French Guiana,Americas,16922,5665.56,158,52.9,0,89,29.8,2,0.67,0,Community transmission
Cabo Verde,Africa,16911,3041.62,537,96.58,124,165,29.68,6,1.08,1,Community transmission
Réunion,Africa,15561,1738.05,930,103.87,0,102,11.39,15,1.68,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Haiti,Americas,12736,111.69,36,0.32,0,251,2.2,0,0,0,Community transmission
Burkina Faso,Africa,12650,60.52,200,0.96,31,145,0.69,0,0,0,Community transmission
Belize,Americas,12411,3121.26,12,3.02,1,317,79.72,1,0.25,0,Community transmission
Andorra,Europe,11732,15184.11,301,389.57,45,114,147.54,1,1.29,0,Community transmission
Guadeloupe,Americas,11095,2772.89,370,92.47,0,169,42.24,1,0.25,0,Community transmission
Lesotho,Africa,10686,498.82,151,7.05,0,315,14.7,6,0.28,0,Community transmission
Somalia,Eastern Mediterranean,10664,67.1,739,4.65,0,471,2.96,57,0.36,0,Community transmission
South Sudan,Africa,10048,89.76,239,2.14,0,108,0.96,2,0.02,0,Community transmission
Guyana,Americas,9898,1258.4,456,57.97,78,223,28.35,11,1.4,3,Clusters of cases
Mali,Africa,9719,47.99,653,3.22,72,376,1.86,13,0.06,1,Community transmission
Congo,Africa,9681,175.44,117,2.12,0,135,2.45,1,0.02,0,Community transmission
Togo,Africa,9676,116.88,981,11.85,170,107,1.29,5,0.06,0,Community transmission
Suriname,Americas,9085,1548.67,36,6.14,8,177,30.17,1,0.17,0,Clusters of cases
Aruba,Americas,9073,8498.02,449,420.55,88,82,76.8,1,0.94,0,Community transmission
Bahamas,Americas,8986,2285.1,143,36.36,0,188,47.81,2,0.51,0,Clusters of cases
Trinidad and Tobago,Americas,7924,566.21,112,8,21,141,10.08,1,0.07,0,Community transmission
Guam,Western Pacific,7586,4494.74,16,9.48,2,134,79.4,0,0,0,Clusters of cases
Martinique,Americas,7264,1935.7,227,60.49,0,47,12.52,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,7169,725.61,668,67.61,153,66,6.68,3,0.3,2,Community transmission
Benin,Africa,7100,58.57,282,2.33,0,90,0.74,0,0,0,Community transmission
Equatorial Guinea,Africa,6851,488.32,185,13.19,0,102,7.27,2,0.14,0,Community transmission
Curaçao,Americas,6648,4051.36,1128,687.42,224,27,16.45,4,2.44,0,Community transmission
Mongolia,Western Pacific,6332,193.15,1674,51.06,437,5,0.15,1,0.03,0,Clusters of cases
Iceland,Europe,6163,1806.04,66,19.34,0,29,8.5,0,0,0,Community transmission
Gambia,Africa,5365,222,149,6.17,62,163,6.74,3,0.12,2,Community transmission
Nicaragua,Americas,5288,79.82,37,0.56,0,177,2.67,1,0.02,0,Community transmission
Papua New Guinea,Western Pacific,5184,57.94,2099,23.46,219,45,0.5,9,0.1,6,Community transmission
Central African Republic,Africa,5087,105.33,23,0.48,0,64,1.33,1,0.02,0,Community transmission
Niger,Africa,4972,20.54,61,0.25,17,185,0.76,0,0,0,Community transmission
San Marino,Europe,4603,13562.97,275,810.3,56,84,247.51,5,14.73,0,Community transmission
Chad,Africa,4480,27.27,85,0.52,15,158,0.96,1,0.01,0,Community transmission
Gibraltar,Europe,4272,12679.94,2,5.94,1,94,279.01,0,0,0,Clusters of cases
Saint Lucia,Americas,4172,2272,75,40.84,11,58,31.59,3,1.63,0,Community transmission
Seychelles,Africa,3996,4063.16,430,437.23,114,18,18.3,2,2.03,0,Community transmission
Sierra Leone,Africa,3962,49.67,15,0.19,9,79,0.99,0,0,0,Community transmission
Yemen,Eastern Mediterranean,3904,13.09,683,2.29,84,821,2.75,87,0.29,10,Community transmission
Comoros,Africa,3689,424.22,32,3.68,8,146,16.79,0,0,0,Community transmission
Guinea-Bissau,Africa,3615,183.69,79,4.01,8,61,3.1,6,0.3,0,Community transmission
Barbados,Americas,3593,1250.28,101,35.15,11,40,13.92,1,0.35,0,Community transmission
Jersey,Europe,3225,2964.15,1,0.92,0,69,63.42,0,0,0,Community transmission
Eritrea,Africa,3208,90.46,113,3.19,16,9,0.25,2,0.06,0,Community transmission
United States Virgin Islands,Americas,2888,2765.62,74,70.86,11,26,24.9,1,0.96,1,Community transmission
Liechtenstein,Europe,2731,7161.02,22,57.69,0,54,141.59,0,0,0,Sporadic cases
Burundi,Africa,2657,22.35,94,0.79,0,6,0.05,3,0.03,0,Community transmission
Viet Nam,Western Pacific,2586,2.66,15,0.02,5,35,0.04,0,0,0,Clusters of cases
Turks and Caicos Islands,Americas,2318,5986.88,44,113.64,3,17,43.91,2,5.17,0,Clusters of cases
Monaco,Europe,2248,5728.26,84,214.05,21,28,71.35,1,2.55,0,Sporadic cases
Sao Tome and Principe,Africa,2196,1002.01,73,33.31,22,34,15.51,0,0,0,Community transmission
New Zealand,Western Pacific,2125,44.07,37,0.77,2,26,0.54,0,0,0,Clusters of cases
Sint Maarten,Americas,2118,4939.14,25,58.3,4,27,62.96,0,0,0,Community transmission
Liberia,Africa,2052,40.57,10,0.2,0,85,1.68,0,0,0,Community transmission
Cambodia,Western Pacific,1968,11.77,336,2.01,0,7,0.04,4,0.02,0,Sporadic cases
Saint Vincent and the Grenadines,Americas,1721,1551.29,29,26.14,6,10,9.01,1,0.9,0,Community transmission
Saint Martin,Americas,1633,4224.11,21,54.32,0,12,31.04,0,0,0,Community transmission
Isle of Man,Europe,1545,1816.96,134,157.59,15,26,30.58,0,0,0,No cases
Bonaire,Americas,1221,5837.92,302,1443.94,29,10,47.81,4,19.13,0,Community transmission
Antigua and Barbuda,Americas,1103,1126.33,92,93.95,3,28,28.59,1,1.02,0,Clusters of cases
Bermuda,Americas,914,1467.73,147,236.06,34,12,19.27,0,0,0,Sporadic cases
Bhutan,South-East Asia,870,112.75,2,0.26,0,1,0.13,0,0,0,Sporadic cases
Mauritius,Africa,870,68.41,78,6.13,10,10,0.79,0,0,0,Clusters of cases
Guernsey,Europe,821,1299.13,0,0,0,14,22.15,0,0,0,Community transmission
Saint Barthélemy,Americas,776,7850.28,51,515.93,0,1,10.12,0,0,0,Clusters of cases
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,661,1352.71,0,0,0,1,2.05,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cayman Islands,Americas,483,734.94,8,12.17,1,2,3.04,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,452,34.28,200,15.17,58,0,0,0,0,0,Clusters of cases
Wallis and Futuna,Western Pacific,367,3263.38,67,595.77,6,4,35.57,4,35.57,1,Sporadic cases
Brunei Darussalam,Western Pacific,206,47.09,3,0.69,0,3,0.69,0,0,0,Clusters of cases
Dominica,Americas,161,223.64,4,5.56,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,159,276.25,2,3.47,0,2,3.47,0,0,0,Pending
Grenada,Americas,155,137.75,1,0.89,0,1,0.89,0,0,0,Sporadic cases
British Virgin Islands,Americas,154,509.31,0,0,0,1,3.31,0,0,0,Clusters of cases
New Caledonia,Western Pacific,121,42.38,6,2.1,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,67,7.47,0,0,0,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,49,0.67,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,23,153.31,2,13.33,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
